conf,scores,test conf
0.049013495445251465,0.9509865,0.9022065842474467
0.09963333606719971,0.90036666,1.0
0.6406325101852417,0.3593675,0.7409224766692106
0.2887726426124573,0.71122736,0.8760788822956622
0.9929213435389102,0.0070786565,1.0
0.9215859174728394,0.07841408,0.7099252583204122
0.9736233502626419,0.02637665,1.0
0.14655596017837524,0.85344404,0.7151207007719986
0.6150641739368439,0.38493583,0.7795242780895784
0.5182297825813293,0.48177022,0.8812008736122116
0.2963724732398987,0.7036275,0.9258580590494242
0.3749251365661621,0.62507486,0.8962276082807008
0.9984719612402841,0.0015280388,0.8303528468196402
0.9663486815989017,0.03365132,0.9281818495464944
0.3088676333427429,0.69113237,0.8372933893118545
0.13735032081604004,0.8626497,0.9268406140424619
0.7000919878482819,0.299908,0.9390266101047148
0.9066841900348663,0.09331581,0.8928224941285425
0.1300874948501587,0.8699125,0.7767792635105552
0.08659416437149048,0.91340584,0.9085238407442213
0.10207962989807129,0.89792037,0.6284194603795099
0.9722339175641537,0.027766082,0.4667414599343875
0.9010162726044655,0.09898373,1.0
0.23812639713287354,0.7618736,1.0
0.6778831779956818,0.32211682,0.6962360198073094
0.3088676333427429,0.69113237,0.9163543613833002
0.8485602736473083,0.15143973,0.5777155332311125
0.9749542027711868,0.025045797,0.6335130116778331
0.9983609938062727,0.0016390062,0.46022975633259594
0.1193276047706604,0.8806724,0.6494398535790503
0.2094929814338684,0.790507,0.7710814386021904
0.23812639713287354,0.7618736,1.0
0.9932018909603357,0.006798109,0.578687598361717
0.3088676333427429,0.69113237,0.9277366968330868
0.15274661779403687,0.8472534,0.5171659201731738
0.5869544148445129,0.4130456,1.0
0.897112175822258,0.102887824,1.0
0.9493755958974361,0.050624404,1.0
0.9984719612402841,0.0015280388,0.8546619801855612
0.030871808528900146,0.9691282,1.0
0.5869544148445129,0.4130456,0.9012992099872127
0.1056509017944336,0.8943491,0.9001993311197112
0.20759540796279907,0.7924046,1.0
0.5420711934566498,0.4579288,0.8604494908734821
0.5869544148445129,0.4130456,1.0
0.6672954559326172,0.33270454,0.968213635744517
0.6711918711662292,0.32880813,1.0
0.06509625911712646,0.93490374,0.8608296522867348
0.23812639713287354,0.7618736,0.8895021116151142
0.5129274427890778,0.48707256,0.7813895173589843
0.9993245388614014,0.00067546114,1.0
0.9312915951013565,0.068708405,0.9543255630273966
0.9770322553813457,0.022967745,0.9916151892521827
0.9984719612402841,0.0015280388,0.9136625812545031
0.1972111463546753,0.80278885,0.858365198145941
0.5700808167457581,0.42991918,1.0
0.10384821891784668,0.8961518,0.7193821735575479
0.9997978602041258,0.0002021398,0.7888275534045385
0.10384821891784668,0.8961518,0.8223618199256302
0.10159450769424438,0.8984055,1.0
0.9697555638849735,0.030244436,1.0
0.9493755958974361,0.050624404,0.6699652543965813
0.0995524525642395,0.90044755,0.7593748500008883
0.21075773239135742,0.78924227,0.7324167064626033
0.6711918711662292,0.32880813,0.6244763270812463
0.13735032081604004,0.8626497,0.7690908066220115
0.13735032081604004,0.8626497,0.9977287713948606
0.9508509002625942,0.0491491,1.0
0.5619368851184845,0.4380631,1.0
0.3830496668815613,0.61695033,0.7958604529467469
0.2702440619468689,0.72975594,0.7383162052751379
0.9493755958974361,0.050624404,0.7385241655155316
0.2094929814338684,0.790507,0.6742083098026188
0.6721225678920746,0.32787743,0.6975886217862411
0.7339905202388763,0.26600948,0.7127745629689373
0.2798858880996704,0.7201141,0.9031356429344195
0.3643711805343628,0.6356288,0.8321579674940054
0.9332799017429352,0.0667201,0.7770956145594708
0.9985328819602728,0.001467118,0.8571306911406477
0.06303369998931885,0.9369663,0.8899560740256774
0.057222604751586914,0.9427774,0.8784796093697493
0.44347870349884033,0.5565213,1.0
0.8175987601280212,0.18240124,1.0
0.15588891506195068,0.8441111,0.8371088089980856
0.3504638671875,0.64953613,0.6047424715129953
0.3648846745491028,0.6351153,0.7894490977809936
0.8140812069177628,0.1859188,0.735892663465177
0.13929706811904907,0.86070293,0.8510409509190002
0.9995234381931368,0.0004765618,0.8808277293627259
0.8525375723838806,0.14746243,0.6847307081432844
0.9625402726233006,0.037459727,0.9606269298301234
0.869764655828476,0.13023534,1.0
0.7690586149692535,0.23094139,0.9294349229927216
0.02447664737701416,0.97552335,0.9731475113475664
0.5538987815380096,0.44610122,0.6440213270255075
0.6918685436248779,0.30813146,0.7613339482806541
0.859186515212059,0.14081348,0.7720449557824035
